;   
;  IMD Data
;   
;  Saved on Fri Aug 11 10:30:58 2023
;   
;  Structure: 
;   
;  [ScN/Cr] multilayer, N=300, d=1.56 nm, Gamma=0.570
;      ScN layer (1), rho=4.270 g/cm3, z=0.89 nm
;      Cr layer (2), z=0.67 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0015876185
       390.01502     0.0016744019
       390.03003     0.0017657841
       390.04505     0.0018614071
       390.06006     0.0019607852
       390.07508     0.0020635180
       390.09009     0.0021690943
       390.10511     0.0022769882
       390.12012     0.0023867386
       390.13514     0.0024977809
       390.15015     0.0026095415
       390.16517     0.0027215279
       390.18018     0.0028331124
       390.19520     0.0029438017
       390.21021     0.0030530003
       390.22523     0.0031601135
       390.24024     0.0032646548
       390.25526     0.0033660110
       390.27027     0.0034637247
       390.28529     0.0035572440
       390.30030     0.0036460421
       390.31532     0.0037297074
       390.33033     0.0038077559
       390.34535     0.0038797416
       390.36036     0.0039453311
       390.37538     0.0040041032
       390.39039     0.0040557900
       390.40541     0.0041000790
       390.42042     0.0041366883
       390.43544     0.0041654648
       390.45045     0.0041861999
       390.46547     0.0041988029
       390.48048     0.0042031783
       390.49550     0.0041992829
       390.51051     0.0041871533
       390.52553     0.0041668321
       390.54054     0.0041384380
       390.55556     0.0041021180
       390.57057     0.0040580729
       390.58559     0.0040065497
       390.60060     0.0039478476
       390.61562     0.0038822801
       390.63063     0.0038102414
       390.64565     0.0037321566
       390.66066     0.0036484644
       390.67568     0.0035596800
       390.69069     0.0034663112
       390.70571     0.0033689484
       390.72072     0.0032681515
       390.73574     0.0031645666
       390.75075     0.0030588207
       390.76577     0.0029515740
       390.78078     0.0028435326
       390.79580     0.0027353492
       390.81081     0.0026277580
       390.82583     0.0025214544
       390.84084     0.0024171525
       390.85586     0.0023155556
       390.87087     0.0022173691
       390.88589     0.0021232732
       390.90090     0.0020339748
       390.91592     0.0019501061
       390.93093     0.0018723095
       390.94595     0.0018012011
       390.96096     0.0017373522
       390.97598     0.0016813306
       390.99099     0.0016336235
       391.00601     0.0015947204
       391.02102     0.0015650322
       391.03604     0.0015449532
       391.05105     0.0015348019
       391.06607     0.0015348613
       391.08108     0.0015453608
       391.09610     0.0015664508
       391.11111     0.0015982690
       391.12613     0.0016408383
       391.14114     0.0016941782
       391.15616     0.0017582081
       391.17117     0.0018327767
       391.18619     0.0019177350
       391.20120     0.0020128117
       391.21622     0.0021176659
       391.23123     0.0022319866
       391.24625     0.0023552805
       391.26126     0.0024871383
       391.27628     0.0026269931
       391.29129     0.0027742147
       391.30631     0.0029282501
       391.32132     0.0030883389
       391.33634     0.0032538490
       391.35135     0.0034239807
       391.36637     0.0035978988
       391.38138     0.0037748713
       391.39640     0.0039539592
       391.41141     0.0041343916
       391.42643     0.0043152494
       391.44144     0.0044955759
       391.45646     0.0046745795
       391.47147     0.0048513075
       391.48649     0.0050248068
       391.50150     0.0051943007
       391.51652     0.0053588068
       391.53153     0.0055175750
       391.54655     0.0056697207
       391.56156     0.0058143855
       391.57658     0.0059509111
       391.59159     0.0060784624
       391.60661     0.0061964474
       391.62162     0.0063092264
       391.63664     0.0064121311
       391.65165     0.0065030479
       391.66667     0.0065814753
       391.68168     0.0066468753
       391.69670     0.0066988843
       391.71171     0.0067371803
       391.72673     0.0067615319
       391.74174     0.0067717492
       391.75676     0.0067677668
       391.77177     0.0067496058
       391.78679     0.0067173201
       391.80180     0.0066711038
       391.81682     0.0066112230
       391.83183     0.0065380334
       391.84685     0.0064519524
       391.86186     0.0063534946
       391.87688     0.0062432944
       391.89189     0.0061220155
       391.90691     0.0059904225
       391.92192     0.0058493535
       391.93694     0.0056997103
       391.95195     0.0055424789
       391.96697     0.0053786925
       391.98198     0.0052094362
       391.99700     0.0050358785
       392.01201     0.0048592014
       392.02703     0.0046806397
       392.04204     0.0045014463
       392.05706     0.0043229418
       392.07207     0.0041464266
       392.08709     0.0039732215
       392.10210     0.0038046414
       392.11712     0.0036420382
       392.13213     0.0034867085
       392.14715     0.0033399327
       392.16216     0.0032029944
       392.17718     0.0030771076
       392.19219     0.0029634450
       392.20721     0.0028631501
       392.22222     0.0027772802
       392.23724     0.0027068332
       392.25225     0.0026527314
       392.26727     0.0026158145
       392.28228     0.0025968307
       392.29730     0.0025964412
       392.31231     0.0026151949
       392.32733     0.0026535263
       392.34234     0.0027117797
       392.35736     0.0027901984
       392.37237     0.0028888439
       392.38739     0.0030077147
       392.40240     0.0031467101
       392.41742     0.0033055023
       392.43243     0.0034837333
       392.44745     0.0036808964
       392.46246     0.0038964080
       392.47748     0.0041294229
       392.49249     0.0043791295
       392.50751     0.0046445450
       392.52252     0.0049246374
       392.53754     0.0052181125
       392.55255     0.0055237293
       392.56757     0.0058401938
       392.58258     0.0061659078
       392.59760     0.0064993960
       392.61261     0.0068391459
       392.62763     0.0071833384
       392.64264     0.0075303551
       392.65766     0.0078784429
       392.67267     0.0082259004
       392.68769     0.0085707909
       392.70270     0.0089113855
       392.71772     0.0092458777
       392.73273     0.0095725755
       392.74775     0.0098895602
       392.76276      0.010195181
       392.77778      0.010487833
       392.79279      0.010765735
       392.80781      0.011027420
       392.82282      0.011271468
       392.83784      0.011496346
       392.85285      0.011700821
       392.86787      0.011883691
       392.88288      0.012043954
       392.89790      0.012180507
       392.91291      0.012292584
       392.92793      0.012379499
       392.94294      0.012440715
       392.95796      0.012475736
       392.97297      0.012484380
       392.98799      0.012466536
       393.00300      0.012422214
       393.01802      0.012351688
       393.03303      0.012255319
       393.04805      0.012133665
       393.06306      0.011987413
       393.07808      0.011817468
       393.09309      0.011624901
       393.10811      0.011410856
       393.12312      0.011176756
       393.13814      0.010924048
       393.15315      0.010654424
       393.16817      0.010369737
       393.18318      0.010071850
       393.19820     0.0097628684
       393.21321     0.0094449487
       393.22823     0.0091204164
       393.24324     0.0087915882
       393.25826     0.0084609634
       393.27327     0.0081310644
       393.28829     0.0078045174
       393.30330     0.0074838636
       393.31832     0.0071718440
       393.33333     0.0068711310
       393.34835     0.0065843271
       393.36336     0.0063141087
       393.37838     0.0060630978
       393.39339     0.0058337839
       393.40841     0.0056286780
       393.42342     0.0054501414
       393.43844     0.0053004732
       393.45345     0.0051817737
       393.46847     0.0050960866
       393.48348     0.0050452143
       393.49850     0.0050308556
       393.51351     0.0050544791
       393.52853     0.0051173472
       393.54354     0.0052205148
       393.55856     0.0053648119
       393.57357     0.0055508907
       393.58859     0.0057789948
       393.60360     0.0060492641
       393.61862     0.0063615909
       393.63363     0.0067154260
       393.64865     0.0071101261
       393.66366     0.0075447380
       393.67868     0.0080181270
       393.69369     0.0085286049
       393.70871     0.0090745593
       393.72372     0.0096540935
       393.73874      0.010264751
       393.75375      0.010904207
       393.76877      0.011569762
       393.78378      0.012258687
       393.79880      0.012967679
       393.81381      0.013693603
       393.82883      0.014433249
       393.84384      0.015182799
       393.85886      0.015958616
       393.87387      0.016751796
       393.88889      0.017544182
       393.90390      0.018331663
       393.91892      0.019109920
