;   
;  IMD Data
;   
;  Saved on Fri Aug 11 10:54:49 2023
;   
;  Structure: 
;   
;  [ScN/CrN2] multilayer, N=300, d=1.56 nm, Gamma=0.570
;      ScN layer (1), rho=4.270 g/cm3, z=0.89 nm
;      CrN2 layer (2), rho=5.090 g/cm3, z=0.67 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0020037855
       390.01502     0.0020789386
       390.03003     0.0021512107
       390.04505     0.0022202578
       390.06006     0.0022856497
       390.07508     0.0023470748
       390.09009     0.0024041628
       390.10511     0.0024565698
       390.12012     0.0025040426
       390.13514     0.0025462820
       390.15015     0.0025830185
       390.16517     0.0026140755
       390.18018     0.0026392214
       390.19520     0.0026583368
       390.21021     0.0026712744
       390.22523     0.0026779247
       390.24024     0.0026782622
       390.25526     0.0026722334
       390.27027     0.0026598756
       390.28529     0.0026412223
       390.30030     0.0026163471
       390.31532     0.0025853902
       390.33033     0.0025484981
       390.34535     0.0025058500
       390.36036     0.0024576861
       390.37538     0.0024042547
       390.39039     0.0023458549
       390.40541     0.0022828051
       390.42042     0.0022154622
       390.43544     0.0021442011
       390.45045     0.0020694350
       390.46547     0.0019915934
       390.48048     0.0019111332
       390.49550     0.0018285401
       390.51051     0.0017442905
       390.52553     0.0016589092
       390.54054     0.0015729064
       390.55556     0.0014868205
       390.57057     0.0014012036
       390.58559     0.0013165762
       390.60060     0.0012334956
       390.61562     0.0011525138
       390.63063     0.0010741531
       390.64565    0.00099895292
       390.66066    0.00092744084
       390.67568    0.00086011010
       390.69069    0.00079745115
       390.70571    0.00073994186
       390.72072    0.00068801505
       390.73574    0.00064209725
       390.75075    0.00060258297
       390.76577    0.00056982619
       390.78078    0.00054415536
       390.79580    0.00052585995
       390.81081    0.00051519499
       390.82583    0.00051237037
       390.84084    0.00051756270
       390.85586    0.00053089214
       390.87087    0.00055245459
       390.88589    0.00058228465
       390.90090    0.00062036417
       390.91592    0.00066665981
       390.93093    0.00072104969
       390.94595    0.00078341466
       390.96096    0.00085354875
       390.97598    0.00093119292
       390.99099     0.0010161032
       391.00601     0.0011079307
       391.02102     0.0012062858
       391.03604     0.0013108054
       391.05105     0.0014209869
       391.06607     0.0015364011
       391.08108     0.0016564961
       391.09610     0.0017806935
       391.11111     0.0019084742
       391.12613     0.0020391619
       391.14114     0.0021721978
       391.15616     0.0023068921
       391.17117     0.0024425476
       391.18619     0.0025785587
       391.20120     0.0027141988
       391.21622     0.0028487336
       391.23123     0.0029815497
       391.24625     0.0031118692
       391.26126     0.0032390961
       391.27628     0.0033625096
       391.29129     0.0034814062
       391.30631     0.0035952250
       391.32132     0.0037032591
       391.33634     0.0038049981
       391.35135     0.0038998299
       391.36637     0.0039871814
       391.38138     0.0040666286
       391.39640     0.0041376366
       391.41141     0.0041998574
       391.42643     0.0042528812
       391.44144     0.0042963489
       391.45646     0.0043300461
       391.47147     0.0043537146
       391.48649     0.0043671580
       391.50150     0.0043703101
       391.51652     0.0043630627
       391.53153     0.0043454585
       391.54655     0.0043175303
       391.56156     0.0042793813
       391.57658     0.0042312121
       391.59159     0.0041732307
       391.60661     0.0041057534
       391.62162     0.0040298011
       391.63664     0.0039447410
       391.65165     0.0038507939
       391.66667     0.0037484951
       391.68168     0.0036384529
       391.69670     0.0035213308
       391.71171     0.0033978444
       391.72673     0.0032687605
       391.74174     0.0031348899
       391.75676     0.0029970903
       391.77177     0.0028562472
       391.78679     0.0027133066
       391.80180     0.0025692249
       391.81682     0.0024249700
       391.83183     0.0022815369
       391.84685     0.0021399615
       391.86186     0.0020012523
       391.87688     0.0018664180
       391.89189     0.0017364865
       391.90691     0.0016124792
       391.92192     0.0014953595
       391.93694     0.0013860859
       391.95195     0.0012856115
