;   
;  IMD Data
;   
;  Saved on Wed Aug 16 11:11:35 2023
;   
;  Structure: 
;   
;  [ScN/CrN2] multilayer, N=300, d=1.56 nm, Gamma=0.570
;      ScN layer (1), rho=4.270 g/cm3, z=0.89 nm, sigma[CrN2/ScN]=0.20 nm
;      CrN2 layer (2), rho=5.090 g/cm3, z=0.67 nm, sigma=0.20 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0010466077
       390.01502     0.0010876790
       390.03003     0.0011273484
       390.04505     0.0011654281
       390.06006     0.0012016831
       390.07508     0.0012359412
       390.09009     0.0012679981
       390.10511     0.0012976625
       390.12012     0.0013247916
       390.13514     0.0013492167
       390.15015     0.0013707843
       390.16517     0.0013893908
       390.18018     0.0014049015
       390.19520     0.0014172426
       390.21021     0.0014263238
       390.22523     0.0014320746
       390.24024     0.0014344706
       390.25526     0.0014334699
       390.27027     0.0014290815
       390.28529     0.0014213104
       390.30030     0.0014101830
       390.31532     0.0013957629
       390.33033     0.0013781154
       390.34535     0.0013573236
       390.36036     0.0013335051
       390.37538     0.0013067796
       390.39039     0.0012772968
       390.40541     0.0012452150
       390.42042     0.0012107137
       390.43544     0.0011739843
       390.45045     0.0011352369
       390.46547     0.0010946929
       390.48048     0.0010525876
       390.49550     0.0010091722
       390.51051    0.00096469534
       390.52553    0.00091943016
       390.54054    0.00087364482
       390.55556    0.00082762206
       390.57057    0.00078165284
       390.58559    0.00073601326
       390.60060    0.00069099896
       390.61562    0.00064690404
       390.63063    0.00060400833
       390.64565    0.00056260110
       390.66066    0.00052296668
       390.67568    0.00048537242
       390.69069    0.00045008473
       390.70571    0.00041736492
       390.72072    0.00038745095
       390.73574    0.00036057881
       390.75075    0.00033696865
       390.76577    0.00031681943
       390.78078    0.00030031826
       390.79580    0.00028763148
       390.81081    0.00027890899
       390.82583    0.00027427769
       390.84084    0.00027384612
       390.85586    0.00027769534
       390.87087    0.00028589213
       390.88589    0.00029847297
       390.90090    0.00031544690
       390.91592    0.00033681318
       390.93093    0.00036252689
       390.94595    0.00039254200
       390.96096    0.00042676860
       390.97598    0.00046508863
       390.99099    0.00050738927
       391.00601    0.00055350425
       391.02102    0.00060324503
       391.03604    0.00065643433
       391.05105    0.00071282328
       391.06607    0.00077219795
       391.08108    0.00083428080
       391.09610    0.00089877899
       391.11111    0.00096542794
       391.12613     0.0010338813
       391.14114     0.0011038506
       391.15616     0.0011749791
       391.17117     0.0012469038
       391.18619     0.0013193077
       391.20120     0.0013918092
       391.21622     0.0014640207
       391.23123     0.0015356164
       391.24625     0.0016061821
       391.26126     0.0016753981
       391.27628     0.0017428768
       391.29129     0.0018082382
       391.30631     0.0018711760
       391.32132     0.0019313045
       391.33634     0.0019883416
       391.35135     0.0020419488
       391.36637     0.0020918065
       391.38138     0.0021376741
       391.39640     0.0021792490
       391.41141     0.0022163284
       391.42643     0.0022486745
       391.44144     0.0022760745
       391.45646     0.0022983938
       391.47147     0.0023154717
       391.48649     0.0023271789
       391.50150     0.0023334582
       391.51652     0.0023342250
       391.53153     0.0023294790
       391.54655     0.0023192108
       391.56156     0.0023034482
       391.57658     0.0022822749
       391.59159     0.0022557731
       391.60661     0.0022240878
       391.62162     0.0021878815
       391.63664     0.0021466898
       391.65165     0.0021005608
       391.66667     0.0020497533
       391.68168     0.0019945624
       391.69670     0.0019353165
       391.71171     0.0018723719
       391.72673     0.0018061138
       391.74174     0.0017369495
       391.75676     0.0016653154
       391.77177     0.0015916640
       391.78679     0.0015164791
       391.80180     0.0014402545
       391.81682     0.0013634910
       391.83183     0.0012867065
       391.84685     0.0012104412
       391.86186     0.0011352245
       391.87688     0.0010615884
       391.89189    0.00099007645
       391.90691    0.00092123231
       391.92192    0.00085557117
       391.93694    0.00079360866
       391.95195    0.00073586044
       391.96697    0.00068280916
       391.98198    0.00063491976
       391.99700    0.00059264865
       392.01201    0.00055640778
       392.02703    0.00052659124
       392.04204    0.00050355893
       392.05706    0.00048763952
       392.07207    0.00047912197
       392.08709    0.00047825589
       392.10210    0.00048525603
       392.11712    0.00050028313
