;   
;  IMD Data
;   
;  Saved on Fri Aug 11 10:19:08 2023
;   
;  Structure: 
;   
;  [Sc/Cr] multilayer, N=300, d=1.56 nm, Gamma=0.590
;      Sc layer (1), z=0.92 nm
;      Cr layer (2), z=0.64 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0031123381
       390.01502     0.0032500864
       390.03003     0.0033869668
       390.04505     0.0035221408
       390.06006     0.0036550560
       390.07508     0.0037848872
       390.09009     0.0039110290
       390.10511     0.0040328911
       390.12012     0.0041496909
       390.13514     0.0042608795
       390.15015     0.0043659301
       390.16517     0.0044641436
       390.18018     0.0045550558
       390.19520     0.0046382328
       390.21021     0.0047130916
       390.22523     0.0047792805
       390.24024     0.0048364805
       390.25526     0.0048842641
       390.27027     0.0049224037
       390.28529     0.0049506784
       390.30030     0.0049689616
       390.31532     0.0049770431
       390.33033     0.0049749085
       390.34535     0.0049625522
       390.36036     0.0049400578
       390.37538     0.0049074650
       390.39039     0.0048649752
       390.40541     0.0048128202
       390.42042     0.0047512600
       390.43544     0.0046806438
       390.45045     0.0046013555
       390.46547     0.0045138244
       390.48048     0.0044185532
       390.49550     0.0043160948
       390.51051     0.0042070130
       390.52553     0.0040919500
       390.54054     0.0039715775
       390.55556     0.0038466072
       390.57057     0.0037177964
       390.58559     0.0035858942
       390.60060     0.0034517281
       390.61562     0.0033160965
       390.63063     0.0031798550
       390.64565     0.0030438733
       390.66066     0.0029089637
       390.67568     0.0027760779
       390.69069     0.0026460337
       390.70571     0.0025197217
       390.72072     0.0023979731
       390.73574     0.0022816525
       390.75075     0.0021715582
       390.76577     0.0020684985
       390.78078     0.0019732502
       390.79580     0.0018865265
       390.81081     0.0018090408
       390.82583     0.0017414264
       390.84084     0.0016843042
       390.85586     0.0016382111
       390.87087     0.0016036591
       390.88589     0.0015810740
       390.90090     0.0015708358
       390.91592     0.0015732636
       390.93093     0.0015885947
       390.94595     0.0016170124
       390.96096     0.0016586145
       390.97598     0.0017134377
       390.99099     0.0017814364
       391.00601     0.0018624965
       391.02102     0.0019564262
       391.03604     0.0020629602
       391.05105     0.0021817015
       391.06607     0.0023123536
       391.08108     0.0024543782
       391.09610     0.0026072297
       391.11111     0.0027702864
       391.12613     0.0029428710
       391.14114     0.0031241610
       391.15616     0.0033135218
       391.17117     0.0035100256
       391.18619     0.0037127798
       391.20120     0.0039207328
       391.21622     0.0041331092
       391.23123     0.0043488022
       391.24625     0.0045667606
       391.26126     0.0047859248
       391.27628     0.0050051060
       391.29129     0.0052234257
       391.30631     0.0054396806
       391.32132     0.0056526641
       391.33634     0.0058615071
       391.35135     0.0060650238
       391.36637     0.0062620479
       391.38138     0.0064517676
       391.39640     0.0066330726
       391.41141     0.0068049992
       391.42643     0.0069665231
       391.44144     0.0071169811
       391.45646     0.0072553515
       391.47147     0.0073810699
       391.48649     0.0074933345
       391.50150     0.0075914376
       391.51652     0.0076749900
       391.53153     0.0077434198
       391.54655     0.0077962539
       391.56156     0.0078333046
       391.57658     0.0078542184
       391.59159     0.0078589584
       391.60661     0.0078473538
       391.62162     0.0078216166
       391.63664     0.0077795090
       391.65165     0.0077205683
       391.66667     0.0076450953
       391.68168     0.0075534947
       391.69670     0.0074463102
       391.71171     0.0073241434
       391.72673     0.0071876926
       391.74174     0.0070378036
       391.75676     0.0068753763
       391.77177     0.0067013836
       391.78679     0.0065169115
       391.80180     0.0063231418
       391.81682     0.0061212634
       391.83183     0.0059125979
       391.84685     0.0056985413
       391.86186     0.0054804308
       391.87688     0.0052598045
       391.89189     0.0050381872
       391.90691     0.0048170463
       391.92192     0.0045980199
       391.93694     0.0043826110
       391.95195     0.0041724421
       391.96697     0.0039691312
       391.98198     0.0037741726
       391.99700     0.0035891820
       392.01201     0.0034156348
       392.02703     0.0032549739
