;   
;  IMD Data
;   
;  Saved on Fri Aug 11 10:24:42 2023
;   
;  Structure: 
;   
;  [Sc/Cr2N] multilayer, N=300, d=1.56 nm, Gamma=0.570
;      Sc layer (1), z=0.89 nm
;      Cr2N layer (2), rho=6.800 g/cm3, z=0.67 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0029853957
       390.01502     0.0031228038
       390.03003     0.0032591234
       390.04505     0.0033935155
       390.06006     0.0035254255
       390.07508     0.0036540267
       390.09009     0.0037787153
       390.10511     0.0038989027
       390.12012     0.0040138118
       390.13514     0.0041228975
       390.15015     0.0042256367
       390.16517     0.0043213404
       390.18018     0.0044095518
       390.19520     0.0044898423
       390.21021     0.0045616450
       390.22523     0.0046246166
       390.24024     0.0046784495
       390.25526     0.0047227281
       390.27027     0.0047572428
       390.28529     0.0047817847
       390.30030     0.0047962359
       390.31532     0.0048004143
       390.33033     0.0047943174
       390.34535     0.0047779528
       390.36036     0.0047514142
       390.37538     0.0047147749
       390.39039     0.0046682455
       390.40541     0.0046120657
       390.42042     0.0045465340
       390.43544     0.0044720030
       390.45045     0.0043888648
       390.46547     0.0042975871
       390.48048     0.0041986782
       390.49550     0.0040926977
       390.51051     0.0039802428
       390.52553     0.0038619490
       390.54054     0.0037385261
       390.55556     0.0036106867
       390.57057     0.0034791902
       390.58559     0.0033448164
       390.60060     0.0032083799
       390.61562     0.0030707140
       390.63063     0.0029326688
       390.64565     0.0027951073
       390.66066     0.0026588733
       390.67568     0.0025248980
       390.69069     0.0023940217
       390.70571     0.0022671136
       390.72072     0.0021450286
       390.73574     0.0020286053
       390.75075     0.0019186612
       390.76577     0.0018159898
       390.78078     0.0017213468
       390.79580     0.0016354596
       390.81081     0.0015590130
       390.82583     0.0014926472
       390.84084     0.0014369554
       390.85586     0.0013924733
       390.87087     0.0013596855
       390.88589     0.0013390148
       390.90090     0.0013308127
       390.91592     0.0013353870
       390.93093     0.0013529581
       390.94595     0.0013836830
       390.96096     0.0014276458
       390.97598     0.0014848577
       390.99099     0.0015552554
       391.00601     0.0016387013
       391.02102     0.0017349834
       391.03604     0.0018438154
       391.05105     0.0019647803
       391.06607     0.0020975564
       391.08108     0.0022415888
       391.09610     0.0023963089
       391.11111     0.0025610805
       391.12613     0.0027352053
       391.14114     0.0029178411
       391.15616     0.0031083395
       391.17117     0.0033057576
       391.18619     0.0035091828
       391.20120     0.0037175619
       391.21622     0.0039300990
       391.23123     0.0041456743
       391.24625     0.0043632365
       391.26126     0.0045817164
       391.27628     0.0047999165
       391.29129     0.0050169583
       391.30631     0.0052316343
       391.32132     0.0054427351
       391.33634     0.0056493970
       391.35135     0.0058504342
       391.36637     0.0060446851
       391.38138     0.0062313436
       391.39640     0.0064093066
       391.41141     0.0065776192
       391.42643     0.0067352704
       391.44144     0.0068816037
       391.45646     0.0070156146
       391.47147     0.0071367492
       391.48649     0.0072442281
       391.50150     0.0073373533
       391.51652     0.0074157537
       391.53153     0.0074788781
       391.54655     0.0075262739
       391.56156     0.0075577817
       391.57658     0.0075730516
       391.59159     0.0075720752
       391.60661     0.0075547058
       391.62162     0.0075231473
       391.63664     0.0074752372
       391.65165     0.0074105245
       391.66667     0.0073293374
       391.68168     0.0072321051
       391.69670     0.0071193924
       391.71171     0.0069918213
       391.72673     0.0068501313
       391.74174     0.0066951449
       391.75676     0.0065277998
       391.77177     0.0063490869
       391.78679     0.0061601072
       391.80180     0.0059620610
       391.81682     0.0057561422
       391.83183     0.0055436879
       391.84685     0.0053261035
       391.86186     0.0051047567
       391.87688     0.0048811507
       391.89189     0.0046568349
       391.90691     0.0044332864
       391.92192     0.0042121339
       391.93694     0.0039948864
       391.95195     0.0037831634
       391.96697     0.0035785782
       391.98198     0.0033826205
       391.99700     0.0031969009
       392.01201     0.0030228783
       392.02703     0.0028619884
       392.04204     0.0027156928
       392.05706     0.0025852844
       392.07207     0.0024720790
       392.08709     0.0023772254
       392.10210     0.0023018513
       392.11712     0.0022469422
       392.13213     0.0022133986
       392.14715     0.0022019976
       392.16216     0.0022133981
       392.17718     0.0022481375
       392.19219     0.0023066529
       392.20721     0.0023891561
       392.22222     0.0024958022
       392.23724     0.0026265784
       392.25225     0.0027813894
       392.26727     0.0029598177
       392.28228     0.0031614692
       392.29730     0.0033857509
       392.31231     0.0036319254
       392.32733     0.0038991180
       392.34234     0.0041863137
       392.35736     0.0044923657
       392.37237     0.0048159997
       392.38739     0.0051559426
       392.40240     0.0055104458
       392.41742     0.0058780095
       392.43243     0.0062569196
       392.44745     0.0066452285
       392.46246     0.0070413400
       392.47748     0.0074431612
       392.49249     0.0078486885
       392.50751     0.0082558654
       392.52252     0.0086626023
       392.53754     0.0090667874
       392.55255     0.0094662961
       392.56757     0.0098590106
       392.58258      0.010242662
       392.59760      0.010615491
       392.61261      0.010975295
       392.62763      0.011320083
       392.64264      0.011647927
       392.65766      0.011956827
       392.67267      0.012245315
       392.68769      0.012511571
       392.70270      0.012753902
       392.71772      0.012971137
       392.73273      0.013161823
       392.74775      0.013324672
       392.76276      0.013458886
       392.77778      0.013563469
       392.79279      0.013637623
       392.80781      0.013680980
       392.82282      0.013693004
       392.83784      0.013673653
       392.85285      0.013622784
       392.86787      0.013540694
       392.88288      0.013427645
       392.89790      0.013284274
       392.91291      0.013111273
       392.92793      0.012909621
       392.94294      0.012680426
       392.95796      0.012425016
       392.97297      0.012144891
       392.98799      0.011841737
       393.00300      0.011517372
       393.01802      0.011173881
       393.03303      0.010813425
       393.04805      0.010438268
       393.06306      0.010050992
       393.07808     0.0096541529
       393.09309     0.0092504709
       393.10811     0.0088427096
       393.12312     0.0084339056
       393.13814     0.0080269910
       393.15315     0.0076250155
       393.16817     0.0072310708
       393.18318     0.0068482019
       393.19820     0.0064796748
       393.21321     0.0061285320
       393.22823     0.0057978346
       393.24324     0.0054906120
       393.25826     0.0052098125
       393.27327     0.0049582910
       393.28829     0.0047387879
       393.30330     0.0045539138
       393.31832     0.0044061109
       393.33333     0.0042976619
       393.34835     0.0042306526
       393.36336     0.0042069581
       393.37838     0.0042282283
