;   
;  IMD Data
;   
;  Saved on Wed Aug 16 12:08:24 2023
;   
;  Structure: 
;   
;  [Sc/Cr2N] multilayer, N=300, d=1.56 nm, Gamma=0.570
;      Sc layer (1), z=0.89 nm, sigma[Cr2N/Sc]=0.20 nm
;      Cr2N layer (2), rho=6.800 g/cm3, z=0.67 nm, sigma=0.20 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0015057382
       390.01502     0.0015786298
       390.03003     0.0016514014
       390.04505     0.0017236129
       390.06006     0.0017949694
       390.07508     0.0018650314
       390.09009     0.0019334733
       390.10511     0.0019999756
       390.12012     0.0020641164
       390.13514     0.0021255936
       390.15015     0.0021841155
       390.16517     0.0022392979
       390.18018     0.0022908790
       390.19520     0.0023386105
       390.21021     0.0023821650
       390.22523     0.0024213350
       390.24024     0.0024559307
       390.25526     0.0024856979
       390.27027     0.0025104955
       390.28529     0.0025301794
       390.30030     0.0025446546
       390.31532     0.0025537844
       390.33033     0.0025575329
       390.34535     0.0025558668
       390.36036     0.0025488006
       390.37538     0.0025363292
       390.39039     0.0025185285
       390.40541     0.0024954869
       390.42042     0.0024673244
       390.43544     0.0024341930
       390.45045     0.0023962571
       390.46547     0.0023537309
       390.48048     0.0023068483
       390.49550     0.0022558714
       390.51051     0.0022010834
       390.52553     0.0021427923
       390.54054     0.0020813384
       390.55556     0.0020170740
       390.57057     0.0019503753
       390.58559     0.0018816314
       390.60060     0.0018112521
       390.61562     0.0017396595
       390.63063     0.0016672873
       390.64565     0.0015945785
       390.66066     0.0015219704
       390.67568     0.0014499448
       390.69069     0.0013789433
       390.70571     0.0013094240
       390.72072     0.0012418408
       390.73574     0.0011766425
       390.75075     0.0011142694
       390.76577     0.0010551533
       390.78078    0.00099970856
       390.79580    0.00094833849
       390.81081    0.00090142705
       390.82583    0.00085933804
       390.84084    0.00082241386
       390.85586    0.00079096933
       390.87087    0.00076529561
       390.88589    0.00074565437
       390.90090    0.00073227510
       390.91592    0.00072535900
       390.93093    0.00072507111
       390.94595    0.00073154310
       390.96096    0.00074487022
       390.97598    0.00076511094
       390.99099    0.00079228616
       391.00601    0.00082637875
       391.02102    0.00086733312
       391.03604    0.00091505538
       391.05105    0.00096938709
       391.06607     0.0010302075
       391.08108     0.0010972850
       391.09610     0.0011703755
       391.11111     0.0012491987
       391.12613     0.0013334396
       391.14114     0.0014227097
       391.15616     0.0015167082
       391.17117     0.0016149886
       391.18619     0.0017171135
       391.20120     0.0018225714
       391.21622     0.0019309727
       391.23123     0.0020417636
       391.24625     0.0021544185
       391.26126     0.0022683985
       391.27628     0.0023830942
       391.29129     0.0024980534
       391.30631     0.0026126519
       391.32132     0.0027262586
       391.33634     0.0028384158
       391.35135     0.0029484949
       391.36637     0.0030558732
       391.38138     0.0031601100
       391.39640     0.0032606036
       391.41141     0.0033568249
       391.42643     0.0034482093
       391.44144     0.0035343777
       391.45646     0.0036147573
       391.47147     0.0036890159
       391.48649     0.0037566916
       391.50150     0.0038173612
       391.51652     0.0038707786
       391.53153     0.0039165905
       391.54655     0.0039544911
       391.56156     0.0039843386
       391.57658     0.0040058718
       391.59159     0.0040190251
       391.60661     0.0040236388
       391.62162     0.0040211286
       391.63664     0.0040100692
       391.65165     0.0039900523
       391.66667     0.0039611684
       391.68168     0.0039235554
       391.69670     0.0038774373
       391.71171     0.0038230542
       391.72673     0.0037607139
       391.74174     0.0036907692
       391.75676     0.0036136302
       391.77177     0.0035297518
       391.78679     0.0034396348
       391.80180     0.0033438355
       391.81682     0.0032429237
       391.83183     0.0031375346
       391.84685     0.0030283444
       391.86186     0.0029160250
       391.87688     0.0028013133
       391.89189     0.0026849768
       391.90691     0.0025677591
       391.92192     0.0024504784
       391.93694     0.0023339062
       391.95195     0.0022188719
       391.96697     0.0021062099
       391.98198     0.0019967003
       391.99700     0.0018911911
       392.01201     0.0017904596
       392.02703     0.0016952781
       392.04204     0.0016064430
       392.05706     0.0015246666
       392.07207     0.0014506877
       392.08709     0.0013851574
       392.10210     0.0013287352
       392.11712     0.0012820059
       392.13213     0.0012455164
       392.14715     0.0012197702
       392.16216     0.0012052033
       392.17718     0.0012022006
       392.19219     0.0012110952
       392.20721     0.0012321267
       392.22222     0.0012654938
       392.23724     0.0013113185
       392.25225     0.0013696767
       392.26727     0.0014405017
       392.28228     0.0015237210
       392.29730     0.0016191673
       392.31231     0.0017265994
       392.32733     0.0018457043
       392.34234     0.0019760954
       392.35736     0.0021173156
       392.37237     0.0022688385
       392.38739     0.0024301273
       392.40240     0.0026004141
       392.41742     0.0027790328
       392.43243     0.0029652062
       392.44745     0.0031580333
       392.46246     0.0033567695
       392.47748     0.0035604197
       392.49249     0.0037680192
       392.50751     0.0039785640
       392.52252     0.0041910211
       392.53754     0.0044043335
       392.55255     0.0046174243
       392.56757     0.0048292077
       392.58258     0.0050385051
       392.59760     0.0052443876
       392.61261     0.0054456842
       392.62763     0.0056413188
       392.64264     0.0058302358
       392.65766     0.0060113237
       392.67267     0.0061837434
       392.68769     0.0063464520
       392.70270     0.0064984575
       392.71772     0.0066390419
       392.73273     0.0067673156
       392.74775     0.0068824607
       392.76276     0.0069839251
       392.77778     0.0070710248
       392.79279     0.0071431658
       392.80781     0.0071999993
       392.82282     0.0072410435
       392.83784     0.0072661071
       392.85285     0.0072749005
       392.86787     0.0072674005
       392.88288     0.0072435180
       392.89790     0.0072034034
       392.91291     0.0071471845
       392.92793     0.0070751876
       392.94294     0.0069877564
       392.95796     0.0068853993
       392.97297     0.0067686675
       392.98799     0.0066382470
       393.00300     0.0064948976
       393.01802     0.0063394853
       393.03303     0.0061729583
       393.04805     0.0059963218
       393.06306     0.0058107235
       393.07808     0.0056173374
       393.09309     0.0054174221
       393.10811     0.0052122771
       393.12312     0.0050033315
       393.13814     0.0047919976
       393.15315     0.0045797548
       393.16817     0.0043681191
       393.18318     0.0041586016
       393.19820     0.0039528369
       393.21321     0.0037523727
       393.22823     0.0035587810
       393.24324     0.0033736401
       393.25826     0.0031985077
       393.27327     0.0030349161
       393.28829     0.0028843622
       393.30330     0.0027483012
