;   
;  IMD Data
;   
;  Saved on Fri Aug 11 10:26:42 2023
;   
;  Structure: 
;   
;  [Sc/CrN] multilayer, N=300, d=1.56 nm, Gamma=0.550
;      Sc layer (1), z=0.86 nm
;      CrN layer (2), rho=5.900 g/cm3, z=0.70 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0030046075
       390.01502     0.0031211183
       390.03003     0.0032341350
       390.04505     0.0033429314
       390.06006     0.0034470515
       390.07508     0.0035458105
       390.09009     0.0036387356
       390.10511     0.0037253757
       390.12012     0.0038051354
       390.13514     0.0038776297
       390.15015     0.0039425027
       390.16517     0.0039992772
       390.18018     0.0040476806
       390.19520     0.0040874700
       390.21021     0.0041183128
       390.22523     0.0041400634
       390.24024     0.0041526140
       390.25526     0.0041557943
       390.27027     0.0041495954
       390.28529     0.0041340264
       390.30030     0.0041091704
       390.31532     0.0040750867
       390.33033     0.0040319692
       390.34535     0.0039800271
       390.36036     0.0039195412
       390.37538     0.0038508026
       390.39039     0.0037741920
       390.40541     0.0036901234
       390.42042     0.0035990606
       390.43544     0.0035014964
       390.45045     0.0033979861
       390.46547     0.0032891141
       390.48048     0.0031755029
       390.49550     0.0030578125
       390.51051     0.0029367217
       390.52553     0.0028129305
       390.54054     0.0026872107
       390.55556     0.0025603033
       390.57057     0.0024329855
       390.58559     0.0023060346
       390.60060     0.0021802470
       390.61562     0.0020564190
       390.63063     0.0019353452
       390.64565     0.0018178152
       390.66066     0.0017045856
       390.67568     0.0015964709
       390.69069     0.0014941876
       390.70571     0.0013984617
       390.72072     0.0013099883
       390.73574     0.0012294307
       390.75075     0.0011574161
       390.76577     0.0010945334
       390.78078     0.0010413219
       390.79580    0.00099827984
       390.81081    0.00096585214
       390.82583    0.00094442999
       390.84084    0.00093434874
       390.85586    0.00093588145
       390.87087    0.00094924265
       390.88589    0.00097458235
       390.90090     0.0010119631
       390.91592     0.0010614436
       390.93093     0.0011229573
       390.94595     0.0011963880
       390.96096     0.0012815521
       390.97598     0.0013781983
       390.99099     0.0014860087
       391.00601     0.0016045990
       391.02102     0.0017335235
       391.03604     0.0018722718
       391.05105     0.0020202078
       391.06607     0.0021768335
       391.08108     0.0023414039
       391.09610     0.0025131897
       391.11111     0.0026914098
       391.12613     0.0028752409
       391.14114     0.0030637328
       391.15616     0.0032561593
       391.17117     0.0034515112
       391.18619     0.0036488343
       391.20120     0.0038470586
       391.21622     0.0040453881
       391.23123     0.0042427301
       391.24625     0.0044380817
       391.26126     0.0046304440
       391.27628     0.0048187216
       391.29129     0.0050021341
       391.30631     0.0051796171
       391.32132     0.0053501312
       391.33634     0.0055129633
       391.35135     0.0056671352
       391.36637     0.0058117146
       391.38138     0.0059460950
       391.39640     0.0060694345
       391.41141     0.0061810411
       391.42643     0.0062801952
       391.44144     0.0063664904
       391.45646     0.0064392593
       391.47147     0.0064982138
       391.48649     0.0065429111
       391.50150     0.0065729926
       391.51652     0.0065883708
       391.53153     0.0065888444
       391.54655     0.0065743128
       391.56156     0.0065449035
       391.57658     0.0065006336
       391.59159     0.0064417767
       391.60661     0.0063685465
       391.62162     0.0062822779
       391.63664     0.0061820385
       391.65165     0.0060680294
       391.66667     0.0059408759
       391.68168     0.0058013085
       391.69670     0.0056501332
       391.71171     0.0054882368
       391.72673     0.0053165911
       391.74174     0.0051362232
       391.75676     0.0049482665
       391.77177     0.0047538542
       391.78679     0.0045542315
       391.80180     0.0043507114
       391.81682     0.0041445532
       391.83183     0.0039371507
       391.84685     0.0037299285
       391.86186     0.0035242400
       391.87688     0.0033215471
       391.89189     0.0031233204
       391.90691     0.0029309361
       391.92192     0.0027458743
       391.93694     0.0025694850
       391.95195     0.0024031810
       391.96697     0.0022483325
       391.98198     0.0021061857
       391.99700     0.0019780384
       392.01201     0.0018650411
       392.02703     0.0017682990
       392.04204     0.0016888769
       392.05706     0.0016277053
       392.07207     0.0015856558
       392.08709     0.0015634809
       392.10210     0.0015618278
       392.11712     0.0015812391
       392.13213     0.0016221637
       392.14715     0.0016848643
       392.16216     0.0017695378
       392.17718     0.0018762370
       392.19219     0.0020049338
       392.20721     0.0021553271
       392.22222     0.0023271196
       392.23724     0.0025198376
       392.25225     0.0027329581
       392.26727     0.0029656027
       392.28228     0.0032169841
       392.29730     0.0034861230
       392.31231     0.0037719194
       392.32733     0.0040731681
       392.34234     0.0043885493
       392.35736     0.0047166452
       392.37237     0.0050559448
       392.38739     0.0054049758
       392.40240     0.0057618208
       392.41742     0.0061248585
       392.43243     0.0064922896
       392.44745     0.0068621260
       392.46246     0.0072327606
       392.47748     0.0076021400
       392.49249     0.0079683392
       392.50751     0.0083294202
       392.52252     0.0086834531
       392.53754     0.0090285247
       392.55255     0.0093627492
       392.56757     0.0096842822
       392.58258     0.0099911874
       392.59760      0.010282012
       392.61261      0.010554950
       392.62763      0.010808423
       392.64264      0.011040938
       392.65766      0.011250990
       392.67267      0.011437546
       392.68769      0.011599326
       392.70270      0.011735198
       392.71772      0.011844484
       392.73273      0.011926316
       392.74775      0.011980017
       392.76276      0.012005309
       392.77778      0.012001818
       392.79279      0.011969371
       392.80781      0.011908125
       392.82282      0.011818198
       392.83784      0.011700069
       392.85285      0.011554230
       392.86787      0.011381486
       392.88288      0.011182693
       392.89790      0.010958969
       392.91291      0.010711561
       392.92793      0.010441883
       392.94294      0.010151543
       392.95796     0.0098422540
       392.97297     0.0095159382
       392.98799     0.0091746169
       393.00300     0.0088204115
       393.01802     0.0084557035
       393.03303     0.0080828699
       393.04805     0.0077043427
       393.06306     0.0073228493
       393.07808     0.0069410152
       393.09309     0.0065615848
       393.10811     0.0061872966
       393.12312     0.0058210883
       393.13814     0.0054657499
       393.15315     0.0051241261
       393.16817     0.0047990446
       393.18318     0.0044932444
       393.19820     0.0042095785
       393.21321     0.0039506642
       393.22823     0.0037190668
       393.24324     0.0035172650
       393.25826     0.0033476041
       393.27327     0.0032122857
       393.28829     0.0031133508
       393.30330     0.0030526658
       393.31832     0.0030318940
       393.33333     0.0030525011
       393.34835     0.0031157272
       393.36336     0.0032225779
       393.37838     0.0033738131
       393.39339     0.0035699369
       393.40841     0.0038111908
       393.42342     0.0040975456
       393.43844     0.0044285741
       393.45345     0.0048039231
       393.46847     0.0052226287
       393.48348     0.0056835491
       393.49850     0.0061852698
       393.51351     0.0067261056
       393.52853     0.0073039004
       393.54354     0.0079168426
       393.55856     0.0085622981
       393.57357     0.0092375760
       393.58859     0.0099395160
       393.60360      0.010665503
       393.61862      0.011411988
       393.63363      0.012175226
       393.64865      0.012952143
       393.66366      0.013738411
       393.67868      0.014530746
       393.69369      0.015324893
       393.70871      0.016116523
       393.72372      0.016902175
       393.73874      0.017677132
       393.75375      0.018437923
       393.76877      0.019179856
       393.78378      0.019899526
       393.79880      0.020592372
       393.81381      0.021255142
       393.82883      0.021883495
       393.84384      0.022474417
       393.85886      0.023039911
       393.87387      0.023570551
       393.88889      0.024051205
       393.90390      0.024478526
       393.91892      0.024850022
       393.93393      0.025162902
       393.94895      0.025414865
       393.96396      0.025603820
       393.97898      0.025728458
       393.99399      0.025787274
       394.00901      0.025779653
       394.02402      0.025705029
       394.03904      0.025563268
       394.05405      0.025354868
       394.06907      0.025080692
       394.08408      0.024741925
       394.09910      0.024340368
       394.11411      0.023878154
       394.12913      0.023357974
       394.14414      0.022782910
       394.15916      0.022156616
       394.17417      0.021483138
       394.18919      0.020766942
       394.20420      0.020012175
       394.21922      0.019224083
       394.23423      0.018409528
       394.24925      0.017574721
       394.26426      0.016726241
       394.27928      0.015871019
       394.29429      0.015016400
       394.30931      0.014169918
       394.32432      0.013339353
       394.33934      0.012532776
       394.35435      0.011758440
       394.36937      0.011024339
       394.38438      0.010338961
       394.39940     0.0097105550
       394.41441     0.0091473887
       394.42943     0.0086575830
       394.44444     0.0082488530
       394.45946     0.0079289096
       394.47447     0.0077049899
       394.48949     0.0075838993
       394.50450     0.0075719611
       394.51952     0.0076750535
       394.53453     0.0078982230
       394.54955     0.0082461416
       394.56456     0.0087223296
       394.57958     0.0093300448
       394.59459      0.010071052
       394.60961      0.010946741
       394.62462      0.011957735
       394.63964      0.013102861
       394.65465      0.014380771
       394.66967      0.015789330
       394.68468      0.017324248
       394.69970      0.018981364
       394.71471      0.020755255
       394.72973      0.022639577
       394.74474      0.024627027
       394.75976      0.026709520
       394.77477      0.028878172
       394.78979      0.031123274
       394.80480      0.033434506
       394.81982      0.035800921
