;   
;  IMD Data
;   
;  Saved on Fri Aug 11 10:28:32 2023
;   
;  Structure: 
;   
;  [Sc/CrN2] multilayer, N=300, d=1.56 nm, Gamma=0.520
;      Sc layer (1), z=0.81 nm
;      CrN2 layer (2), rho=5.090 g/cm3, z=0.75 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0028622328
       390.01502     0.0029568999
       390.03003     0.0030468634
       390.04505     0.0031315212
       390.06006     0.0032105173
       390.07508     0.0032833048
       390.09009     0.0033495310
       390.10511     0.0034088662
       390.12012     0.0034608698
       390.13514     0.0035052878
       390.15015     0.0035418976
       390.16517     0.0035703851
       390.18018     0.0035906157
       390.19520     0.0036024812
       390.21021     0.0036058151
       390.22523     0.0036006078
       390.24024     0.0035868857
       390.25526     0.0035646393
       390.27027     0.0035339852
       390.28529     0.0034950673
       390.30030     0.0034480896
       390.31532     0.0033932507
       390.33033     0.0033308547
       390.34535     0.0032612179
       390.36036     0.0031847186
       390.37538     0.0031017552
       390.39039     0.0030127870
       390.40541     0.0029183041
       390.42042     0.0028188378
       390.43544     0.0027149306
       390.45045     0.0026071918
       390.46547     0.0024962358
       390.48048     0.0023827073
       390.49550     0.0022672784
       390.51051     0.0021506245
       390.52553     0.0020334339
       390.54054     0.0019164528
       390.55556     0.0018003846
       390.57057     0.0016859573
       390.58559     0.0015738853
       390.60060     0.0014648923
       390.61562     0.0013596892
       390.63063     0.0012589747
       390.64565     0.0011634311
       390.66066     0.0010737031
       390.67568    0.00099046690
       390.69069    0.00091430761
       390.70571    0.00084580599
       390.72072    0.00078550401
       390.73574    0.00073390473
       390.75075    0.00069146879
       390.76577    0.00065861290
       390.78078    0.00063570085
       390.79580    0.00062305050
       390.81081    0.00062092458
       390.82583    0.00062953047
       390.84084    0.00064901855
       390.85586    0.00067947980
       390.87087    0.00072094625
       390.88589    0.00077338888
       390.90090    0.00083668855
       390.91592    0.00091074637
       390.93093    0.00099532648
       390.94595     0.0010901547
       390.96096     0.0011948979
       390.97598     0.0013091645
       390.99099     0.0014325061
       391.00601     0.0015644174
       391.02102     0.0017043460
       391.03604     0.0018516840
       391.05105     0.0020057109
       391.06607     0.0021658605
       391.08108     0.0023313292
       391.09610     0.0025013464
       391.11111     0.0026751025
       391.12613     0.0028517613
       391.14114     0.0030303786
       391.15616     0.0032102375
       391.17117     0.0033903646
       391.18619     0.0035698522
       391.20120     0.0037476995
       391.21622     0.0039231726
       391.23123     0.0040952757
       391.24625     0.0042631104
       391.26126     0.0044257944
       391.27628     0.0045823736
       391.29129     0.0047321881
       391.30631     0.0048743374
       391.32132     0.0050079597
       391.33634     0.0051324889
       391.35135     0.0052471426
       391.36637     0.0053511931
       391.38138     0.0054442041
       391.39640     0.0055255514
       391.41141     0.0055947533
       391.42643     0.0056513147
       391.44144     0.0056950173
       391.45646     0.0057254406
       391.47147     0.0057424857
       391.48649     0.0057459444
       391.50150     0.0057356846
       391.51652     0.0057118064
       391.53153     0.0056743328
       391.54655     0.0056233810
       391.56156     0.0055592538
       391.57658     0.0054821809
       391.59159     0.0053925978
       391.60661     0.0052909155
       391.62162     0.0051780844
       391.63664     0.0050538175
       391.65165     0.0049186318
       391.66667     0.0047732841
       391.68168     0.0046186324
       391.69670     0.0044555765
       391.71171     0.0042850960
       391.72673     0.0041082341
       391.74174     0.0039260646
       391.75676     0.0037397555
       391.77177     0.0035504495
       391.78679     0.0033593854
       391.80180     0.0031678476
       391.81682     0.0029770462
       391.83183     0.0027883059
       391.84685     0.0026029574
       391.86186     0.0024222509
       391.87688     0.0022475141
       391.89189     0.0020800612
       391.90691     0.0019211110
       391.92192     0.0017719415
       391.93694     0.0016337118
       391.95195     0.0015076053
       391.96697     0.0013947453
       391.98198     0.0012961427
       391.99700     0.0012128112
       392.01201     0.0011456335
       392.02703     0.0010954370
       392.04204     0.0010629709
       392.05706     0.0010488824
       392.07207     0.0010537147
       392.08709     0.0010779309
       392.10210     0.0011218458
       392.11712     0.0011857006
       392.13213     0.0012696445
       392.14715     0.0013736173
       392.16216     0.0014975310
       392.17718     0.0016411489
       392.19219     0.0018041720
       392.20721     0.0019860208
       392.22222     0.0021861548
       392.23724     0.0024038646
       392.25225     0.0026384167
       392.26727     0.0028887268
       392.28228     0.0031538351
       392.29730     0.0034326078
       392.31231     0.0037238121
       392.32733     0.0040261380
       392.34234     0.0043381816
       392.35736     0.0046584683
       392.37237     0.0049854558
       392.38739     0.0053176600
       392.40240     0.0056531989
       392.41742     0.0059904931
       392.43243     0.0063278180
       392.44745     0.0066632972
       392.46246     0.0069954285
       392.47748     0.0073223201
       392.49249     0.0076422214
       392.50751     0.0079533929
       392.52252     0.0082541253
       392.53754     0.0085427469
       392.55255     0.0088176342
       392.56757     0.0090772203
       392.58258     0.0093198847
       392.59760     0.0095444503
       392.61261     0.0097494557
       392.62763     0.0099336615
       392.64264      0.010095920
       392.65766      0.010235104
       392.67267      0.010350507
       392.68769      0.010441236
       392.70270      0.010506551
       392.71772      0.010546111
       392.73273      0.010559437
       392.74775      0.010546240
       392.76276      0.010506573
       392.77778      0.010440440
       392.79279      0.010348038
       392.80781      0.010229825
       392.82282      0.010086281
       392.83784     0.0099181724
       392.85285     0.0097263160
       392.86787     0.0095117752
       392.88288     0.0092756831
       392.89790     0.0090193791
       392.91291     0.0087443465
       392.92793     0.0084521743
       392.94294     0.0081446488
       392.95796     0.0078236132
       392.97297     0.0074910987
       392.98799     0.0071492026
       393.00300     0.0068000924
       393.01802     0.0064461620
       393.03303     0.0060897691
       393.04805     0.0057332888
       393.06306     0.0053793522
       393.07808     0.0050304612
       393.09309     0.0046891980
       393.10811     0.0043581144
       393.12312     0.0040398925
       393.13814     0.0037370644
       393.15315     0.0034521723
       393.16817     0.0031877085
       393.18318     0.0029460594
       393.19820     0.0027296523
       393.21321     0.0025406929
       393.22823     0.0023812949
       393.24324     0.0022534624
       393.25826     0.0021590447
       393.27327     0.0020997297
       393.28829     0.0020770295
       393.30330     0.0020922692
       393.31832     0.0021465668
       393.33333     0.0022408344
       393.34835     0.0023757595
       393.36336     0.0025517986
       393.37838     0.0027691670
       393.39339     0.0030278434
       393.40841     0.0033275516
       393.42342     0.0036677663
       393.43844     0.0040475797
       393.45345     0.0044662051
       393.46847     0.0049222585
       393.48348     0.0054142112
       393.49850     0.0059403010
       393.51351     0.0064985333
       393.52853     0.0070864876
       393.54354     0.0077021192
       393.55856     0.0083426208
       393.57357     0.0090051647
       393.58859     0.0096865160
       393.60360      0.010383999
       393.61862      0.011094080
       393.63363      0.011813097
       393.64865      0.012538042
       393.66366      0.013264778
       393.67868      0.013990177
       393.69369      0.014710248
       393.70871      0.015420975
       393.72372      0.016119171
       393.73874      0.016800543
       393.75375      0.017461963
       393.76877      0.018099243
       393.78378      0.018709385
       393.79880      0.019288392
       393.81381      0.019833474
       393.82883      0.020340914
       393.84384      0.020808200
       393.85886      0.021245757
       393.87387      0.021645390
       393.88889      0.021994234
       393.90390      0.022289661
       393.91892      0.022529814
       393.93393      0.022712637
       393.94895      0.022836518
       393.96396      0.022900097
       393.97898      0.022902700
       393.99399      0.022843553
       394.00901      0.022722662
       394.02402      0.022540142
       394.03904      0.022296498
       394.05405      0.021992820
       394.06907      0.021630532
       394.08408      0.021211407
       394.09910      0.020737737
       394.11411      0.020212142
       394.12913      0.019637743
       394.14414      0.019018001
       394.15916      0.018356927
       394.17417      0.017658847
       394.18919      0.016928438
       394.20420      0.016169682
       394.21922      0.015387933
       394.23423      0.014590438
       394.24925      0.013783397
       394.26426      0.012973264
       394.27928      0.012166765
       394.29429      0.011370989
       394.30931      0.010593097
       394.32432     0.0098404137
       394.33934     0.0091204876
       394.35435     0.0084409197
       394.36937     0.0078090292
       394.38438     0.0072324983
       394.39940     0.0067186905
       394.41441     0.0062749246
       394.42943     0.0059082654
       394.44444     0.0056253808
       394.45946     0.0054328036
       394.47447     0.0053365432
       394.48949     0.0053422042
       394.50450     0.0054547946
       394.51952     0.0056789306
       394.53453     0.0060183226
       394.54955     0.0064763871
       394.56456     0.0070553261
       394.57958     0.0077571840
       394.59459     0.0085825189
       394.60961     0.0095315749
       394.62462      0.010603919
       394.63964      0.011797405
       394.65465      0.013109783
       394.66967      0.014538130
       394.68468      0.016077527
       394.69970      0.017723237
       394.71471      0.019469428
       394.72973      0.021309482
       394.74474      0.023235921
       394.75976      0.025240653
       394.77477      0.027314920
       394.78979      0.029449240
       394.80480      0.031633676
       394.81982      0.033857787
       394.83483      0.036110592
       394.84985      0.038380837
       394.86486      0.040656948
       394.87988      0.042927028
       394.89489      0.045178398
       394.90991      0.047400324
       394.92492      0.049579911
       394.93994      0.051705032
       394.95495      0.053762957
       394.96997      0.055743114
       394.98498      0.057633131
       395.00000      0.059420940
       395.01502      0.061096735
       395.03003      0.062648571
       395.04505      0.064067368
       395.06006      0.065342271
       395.07508      0.066465175
       395.09009      0.067426449
       395.10511      0.068241112
       395.12012      0.068913893
       395.13514      0.069391045
       395.15015      0.069665553
       395.16517      0.069732605
       395.18018      0.069588136
       395.19520      0.069229614
       395.21021      0.068655835
       395.22523      0.067866708
       395.24024      0.066864555
       395.25526      0.065653072
       395.27027      0.064237897
       395.28529      0.062627089
       395.30030      0.060830677
       395.31532      0.058861109
       395.33033      0.056734089
       395.34535      0.054466842
       395.36036      0.052080360
       395.37538      0.049598782
       395.39039      0.047049525
       395.40541      0.044461961
       395.42042      0.041870465
       395.43544      0.039312466
       395.45045      0.036827319
       395.46547      0.034459764
       395.48048      0.032255485
       395.49550      0.030264634
       395.51051      0.028538797
       395.52553      0.027131491
       395.54054      0.026098259
       395.55556      0.025494806
       395.57057      0.025376995
       395.58559      0.025799353
       395.60060      0.026814720
       395.61562      0.028472922
       395.63063      0.030819714
       395.64565      0.033895692
       395.66066      0.037735349
       395.67568      0.042366135
       395.69069      0.047807370
       395.70571      0.054069933
       395.72072      0.061155644
       395.73574      0.069056627
       395.75075      0.077755885
       395.76577      0.087224221
       395.78078      0.097432108
       395.79580       0.10833371
       395.81081       0.11987511
       395.82583       0.13200655
       395.84084       0.14466308
       395.85586       0.15777526
       395.87087       0.17128300
       395.88589       0.18510876
       395.90090       0.19919208
       395.91592       0.21345543
       395.93093       0.22783709
       395.94595       0.24227845
       395.96096       0.25671003
       395.97598       0.27108084
       395.99099       0.28533976
       396.00601       0.29944464
       396.02102       0.31334477
       396.03604       0.32700825
       396.05105       0.34040307
       396.06607       0.35350220
       396.08108       0.36628306
       396.09610       0.37872704
       396.11111       0.39086094
       396.12613       0.40315800
       396.14114       0.41505166
       396.15616       0.42653639
       396.17117       0.43760965
       396.18619       0.44826981
       396.20120       0.45852285
       396.21622       0.46836979
       396.23123       0.47781994
       396.24625       0.48687756
       396.26126       0.49555277
       396.27628       0.50385495
       396.29129       0.51179414
       396.30631       0.51938084
       396.32132       0.52662472
       396.33634       0.53353933
       396.35135       0.54013331
       396.36637       0.54642024
       396.38138       0.55240882
       396.39640       0.55811100
       396.41141       0.56353755
       396.42643       0.56869880
       396.44144       0.57360478
       396.45646       0.57826540
       396.47147       0.58269003
       396.48649       0.58688768
       396.50150       0.59098115
       396.51652       0.59488749
       396.53153       0.59857759
       396.54655       0.60205949
       396.56156       0.60534305
       396.57658       0.60843439
       396.59159       0.61134194
       396.60661       0.61407265
       396.62162       0.61663316
       396.63664       0.61902963
       396.65165       0.62126818
       396.66667       0.62335427
       396.68168       0.62529240
       396.69670       0.62708892
       396.71171       0.62874712
       396.72673       0.63027178
       396.74174       0.63166763
       396.75676       0.63293725
       396.77177       0.63408449
       396.78679       0.63511281
       396.80180       0.63602504
       396.81682       0.63682333
       396.83183       0.63751132
       396.84685       0.63809070
       396.86186       0.63856300
       396.87688       0.63893078
       396.89189       0.63919277
       396.90691       0.63934857
       396.92192       0.63940013
       396.93694       0.63934866
       396.95195       0.63919557
       396.96697       0.63894148
       396.98198       0.63858733
       396.99700       0.63813360
       397.01201       0.63758068
       397.02703       0.63692855
       397.04204       0.63617752
       397.05706       0.63532707
       397.07207       0.63437690
       397.08709       0.63332652
       397.10210       0.63217512
       397.11712       0.63092156
       397.13213       0.62951207
       397.14715       0.62798377
       397.16216       0.62634738
       397.17718       0.62460154
       397.19219       0.62274417
       397.20721       0.62077281
       397.22222       0.61868551
       397.23724       0.61647947
       397.25225       0.61415157
       397.26727       0.61158008
       397.28228       0.60875649
       397.29730       0.60580478
       397.31231       0.60272144
       397.32733       0.59950185
       397.34234       0.59614120
       397.35736       0.59263499
       397.37237       0.58897794
       397.38739       0.58513343
       397.40240       0.58109148
       397.41742       0.57687604
       397.43243       0.57247977
       397.44745       0.56789642
       397.46246       0.56311808
       397.47748       0.55813668
       397.49249       0.55294467
       397.50751       0.54753317
       397.52252       0.54127208
       397.53754       0.53466725
       397.55255       0.52783294
       397.56757       0.52075894
       397.58258       0.51343624
       397.59760       0.50585492
       397.61261       0.49800444
       397.62763       0.48987582
       397.64264       0.48135532
       397.65766       0.47206079
       397.67267       0.46248038
       397.68769       0.45260792
       397.70270       0.44243744
       397.71772       0.43196504
       397.73273       0.42118930
       397.74775       0.41010982
       397.76276       0.39872928
       397.77778       0.38675475
       397.79279       0.37425444
       397.80781       0.36153133
       397.82282       0.34860842
       397.83784       0.33550722
       397.85285       0.32225847
       397.86787       0.30890028
       397.88288       0.29547129
       397.89790       0.28201690
       397.91291       0.26859002
       397.92793       0.25524625
       397.94294       0.24204564
       397.95796       0.22905522
       397.97297       0.21633926
       397.98799       0.20396797
       398.00300       0.19201078
       398.01802       0.18053481
       398.03303       0.16971024
       398.04805       0.15959705
       398.06306       0.15021998
       398.07808       0.14160419
       398.09309       0.13376680
       398.10811       0.12671328
       398.12312       0.12043866
       398.13814       0.11492977
       398.15315       0.11016252
       398.16817       0.10610577
       398.18318       0.10271979
       398.19820      0.099959323
       398.21321      0.097774498
       398.22823      0.096110953
       398.24324      0.094912747
       398.25826      0.094123197
       398.27327      0.093664896
       398.28829      0.093411392
       398.30330      0.093375951
       398.31832      0.093514541
       398.33333      0.093785841
       398.34835      0.094151850
       398.36336      0.094577525
       398.37838      0.095031467
       398.39339      0.095485715
       398.40841      0.095924345
       398.42342      0.096338674
       398.43844      0.096706052
       398.45345      0.097008846
       398.46847      0.097232095
       398.48348      0.097363513
       398.49850      0.097393147
       398.51351      0.097313240
       398.52853      0.097118307
       398.54354      0.096810288
       398.55856      0.096395941
       398.57357      0.095854594
       398.58859      0.095187585
       398.60360      0.094430409
       398.61862      0.093634214
       398.63363      0.092686689
       398.64865      0.091595638
       398.66366      0.090370292
       398.67868      0.089021332
       398.69369      0.087560402
