;   
;  IMD Data
;   
;  Saved on Wed Aug 16 09:02:50 2023
;   
;  Structure: 
;   
;  [Sc/Cr] multilayer, N=300, d=1.56 nm, Gamma=0.590
;      Sc layer (1), z=0.92 nm, sigma[Cr/Sc]=0.10 nm
;      Cr layer (2), z=0.64 nm, sigma=0.10 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0026141688
       390.01502     0.0027315437
       390.03003     0.0028484164
       390.04505     0.0029640752
       390.06006     0.0030780489
       390.07508     0.0031896345
       390.09009     0.0032983131
       390.10511     0.0034035786
       390.12012     0.0035047586
       390.13514     0.0036013791
       390.15015     0.0036929842
       390.16517     0.0037789683
       390.18018     0.0038589261
       390.19520     0.0039324767
       390.21021     0.0039991099
       390.22523     0.0040585128
       390.24024     0.0041104000
       390.25526     0.0041543893
       390.27027     0.0041902716
       390.28529     0.0042178413
       390.30030     0.0042369736
       390.31532     0.0042474688
       390.33033     0.0042492965
       390.34535     0.0042424323
       390.36036     0.0042269292
       390.37538     0.0042027982
       390.39039     0.0041701920
       390.40541     0.0041292878
       390.42042     0.0040802875
       390.43544     0.0040234701
       390.45045     0.0039591395
       390.46547     0.0038876442
       390.48048     0.0038093936
       390.49550     0.0037248404
       390.51051     0.0036344477
       390.52553     0.0035387470
       390.54054     0.0034382917
       390.55556     0.0033336747
       390.57057     0.0032255272
       390.58559     0.0031144743
       390.60060     0.0030012096
       390.61562     0.0028864025
       390.63063     0.0027707730
       390.64565     0.0026550544
       390.66066     0.0025399330
       390.67568     0.0024262136
       390.69069     0.0023145904
       390.70571     0.0022058208
       390.72072     0.0021006131
       390.73574     0.0019997061
       390.75075     0.0019037832
       390.76577     0.0018135388
       390.78078     0.0017296424
       390.79580     0.0016527102
       390.81081     0.0015833615
       390.82583     0.0015221481
       390.84084     0.0014696142
       390.85586     0.0014262329
       390.87087     0.0013924592
       390.88589     0.0013686750
       390.90090     0.0013552274
       390.91592     0.0013524081
       390.93093     0.0013604443
       390.94595     0.0013795186
       390.96096     0.0014097405
       390.97598     0.0014511698
       390.99099     0.0015037956
       391.00601     0.0015675509
       391.02102     0.0016423020
       391.03604     0.0017278541
       391.05105     0.0018239015
       391.06607     0.0019302182
       391.08108     0.0020463787
       391.09610     0.0021719485
       391.11111     0.0023064281
       391.12613     0.0024492697
       391.14114     0.0025998029
       391.15616     0.0027575101
       391.17117     0.0029216289
       391.18619     0.0030914232
       391.20120     0.0032660219
       391.21622     0.0034447812
       391.23123     0.0036267792
       391.24625     0.0038111370
       391.26126     0.0039969663
       391.27628     0.0041832677
       391.29129     0.0043692996
       391.30631     0.0045540451
       391.32132     0.0047364815
       391.33634     0.0049158680
       391.35135     0.0050911941
       391.36637     0.0052614625
       391.38138     0.0054259740
       391.39640     0.0055837736
       391.41141     0.0057340279
       391.42643     0.0058758491
       391.44144     0.0060086549
       391.45646     0.0061315535
       391.47147     0.0062440438
       391.48649     0.0063454171
       391.50150     0.0064350406
       391.51652     0.0065125575
       391.53153     0.0065774478
       391.54655     0.0066292732
       391.56156     0.0066678441
       391.57658     0.0066928178
       391.59159     0.0067041308
       391.60661     0.0067015942
       391.62162     0.0066872312
       391.63664     0.0066589811
       391.65165     0.0066163568
       391.66667     0.0065595702
       391.68168     0.0064889181
       391.69670     0.0064048238
       391.71171     0.0063077519
       391.72673     0.0061982527
       391.74174     0.0060770017
       391.75676     0.0059447195
       391.77177     0.0058021975
       391.78679     0.0056503168
       391.80180     0.0054900416
       391.81682     0.0053223511
       391.83183     0.0051483320
       391.84685     0.0049691373
       391.86186     0.0047858776
       391.87688     0.0045998320
       391.89189     0.0044122709
       391.90691     0.0042244235
       391.92192     0.0040376620
       391.93694     0.0038532518
       391.95195     0.0036725605
       391.96697     0.0034969561
       391.98198     0.0033277068
       391.99700     0.0031661872
       392.01201     0.0030136574
       392.02703     0.0028713531
       392.04204     0.0027405445
       392.05706     0.0026223601
       392.07207     0.0025179564
       392.08709     0.0024283557
       392.10210     0.0023545670
       392.11712     0.0022974817
       392.13213     0.0022579246
       392.14715     0.0022366251
       392.16216     0.0022342156
       392.17718     0.0022512276
       392.19219     0.0022881110
       392.20721     0.0023451350
       392.22222     0.0024225174
       392.23724     0.0025203386
       392.25225     0.0026386089
       392.26727     0.0027770734
       392.28228     0.0029354918
       392.29730     0.0031134552
       392.31231     0.0033104395
       392.32733     0.0035257946
       392.34234     0.0037587544
       392.35736     0.0040084376
       392.37237     0.0042738521
       392.38739     0.0045540040
       392.40240     0.0048474895
       392.41742     0.0051531129
       392.43243     0.0054694836
       392.44745     0.0057950287
       392.46246     0.0061284454
       392.47748     0.0064680114
       392.49249     0.0068120675
       392.50751     0.0071589069
       392.52252     0.0075067780
       392.53754     0.0078539242
       392.55255     0.0081985482
       392.56757     0.0085388535
